Pair1: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=69, inner_diam=63
Pair259: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=77, inner_diam=120
Pair260: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=76, inner_diam=88
Pair261: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=81, inner_diam=78
Pair262: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=67, inner_diam=89
Pair263: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=98, inner_diam=90
Pair264: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=71, inner_diam=79
Pair265: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=93, inner_diam=108
Pair266: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=85, inner_diam=74
Pair267: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=52, inner_diam=97
Pair268: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=93, inner_diam=90
Pair269: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=62, inner_diam=105
Pair270: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=61, inner_diam=66
Pair271: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=92, inner_diam=119
Pair272: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=54, inner_diam=109
Pair273: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=71, inner_diam=104
Pair274: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=63, inner_diam=82
Pair275: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=76, inner_diam=110
Pair276: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=74, inner_diam=67
Pair277: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=89, inner_diam=73
Pair278: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=87, inner_diam=46
Pair279: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=54, inner_diam=60
Pair280: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=79, inner_diam=54
Pair281: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=52, inner_diam=46
Pair282: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=67, inner_diam=109
Pair283: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=53, inner_diam=117
Pair284: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=100, inner_diam=45
Pair285: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=77, inner_diam=44
Pair286: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=86, inner_diam=55
Pair287: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=62, inner_diam=43
Pair288: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=93, inner_diam=89
Pair289: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=58, inner_diam=104
Pair290: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=60, inner_diam=96
Pair291: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=71, inner_diam=78
Pair292: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=98, inner_diam=88
Pair293: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=89, inner_diam=56
Pair294: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=93, inner_diam=48
Pair295: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=54, inner_diam=104
Pair296: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=60, inner_diam=51
Pair297: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=51, inner_diam=109
Pair298: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=58, inner_diam=116
Pair299: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=92, inner_diam=58
Pair300: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=90, inner_diam=64
Pair301: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=95, inner_diam=70
Pair302: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=75, inner_diam=117
Pair303: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=80, inner_diam=49
Pair304: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=61, inner_diam=48
Pair305: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=70, inner_diam=89
Pair306: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=68, inner_diam=78
Pair307: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=90, inner_diam=40
Pair308: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=79, inner_diam=83
Pair309: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=93, inner_diam=89
Pair310: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=65, inner_diam=119
Pair311: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=75, inner_diam=84
Pair312: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=95, inner_diam=54
Pair313: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=85, inner_diam=78
Pair314: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=77, inner_diam=47
Pair315: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=98, inner_diam=86
Pair316: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=67, inner_diam=93
Pair317: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=58, inner_diam=109
Pair318: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=72, inner_diam=51
Pair319: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=87, inner_diam=118
Pair320: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=55, inner_diam=101
Pair321: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=72, inner_diam=67
Pair322: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=67, inner_diam=90
Pair323: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=60, inner_diam=102
Pair324: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=65, inner_diam=82
Pair325: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=78, inner_diam=91
Pair326: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=54, inner_diam=85
Pair327: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=86, inner_diam=104
Pair328: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=53, inner_diam=109
Pair329: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=50, inner_diam=68
Pair330: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=71, inner_diam=46
Pair331: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=83, inner_diam=99
Pair332: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=90, inner_diam=65
Pair333: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=75, inner_diam=117
Pair334: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=62, inner_diam=102
Pair335: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=94, inner_diam=99
Pair336: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=53, inner_diam=67
Pair337: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=52, inner_diam=87
Pair338: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=81, inner_diam=97
Pair339: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=100, inner_diam=116
Pair340: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=99, inner_diam=80
Pair341: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=78, inner_diam=101
Pair342: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=83, inner_diam=103
Pair343: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=80, inner_diam=84
Pair344: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=95, inner_diam=48
Pair345: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=96, inner_diam=66
Pair346: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=50, inner_diam=47
Pair347: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=60, inner_diam=60
Pair348: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=60, inner_diam=87
Pair349: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=94, inner_diam=71
Pair350: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=53, inner_diam=112
Pair351: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=84, inner_diam=91
Pair352: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=82, inner_diam=61
Pair353: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=92, inner_diam=43
Pair354: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=83, inner_diam=113
Pair355: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=84, inner_diam=94
Pair356: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=81, inner_diam=101
Pair357: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=64, inner_diam=111
Pair358: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=94, inner_diam=113
Pair359: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=69, inner_diam=50
Pair360: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=72, inner_diam=113
Pair361: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=50, inner_diam=110
Pair362: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=63, inner_diam=67
Pair363: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=96, inner_diam=120
Pair364: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=93, inner_diam=96
Pair365: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=83, inner_diam=110
Pair366: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=58, inner_diam=88
Pair367: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=69, inner_diam=79
Pair368: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=58, inner_diam=105
Pair369: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=65, inner_diam=43
Pair370: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=73, inner_diam=108
Pair371: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=57, inner_diam=55
Pair372: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=62, inner_diam=120
Pair373: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=76, inner_diam=93
Pair374: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=66, inner_diam=72
Pair375: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=95, inner_diam=67
Pair376: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=73, inner_diam=106
Pair377: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=88, inner_diam=42
Pair378: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=96, inner_diam=48
Pair379: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=75, inner_diam=48
Pair380: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=67, inner_diam=100
Pair381: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=80, inner_diam=82
Pair382: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=51, inner_diam=76
Pair383: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=65, inner_diam=67
Pair384: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=74, inner_diam=51
Pair385: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=54, inner_diam=64
Pair386: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=61, inner_diam=47
Pair387: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=82, inner_diam=79
Pair388: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=79, inner_diam=87
Pair389: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=75, inner_diam=52
Pair390: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=50, inner_diam=93
Pair391: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=86, inner_diam=88
Pair392: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=67, inner_diam=83
Pair393: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=92, inner_diam=92
Pair394: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=90, inner_diam=43
Pair395: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=100, inner_diam=68
Pair396: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=100, inner_diam=64
Pair397: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=89, inner_diam=67
Pair398: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=65, inner_diam=107
Pair399: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=55, inner_diam=106
Pair400: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=64, inner_diam=90
Pair401: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=95, inner_diam=42
Pair402: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=74, inner_diam=58
Pair403: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=60, inner_diam=40
Pair404: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=62, inner_diam=116
Pair405: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=77, inner_diam=112
Pair406: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=56, inner_diam=100
Pair407: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=68, inner_diam=74
Pair408: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=56, inner_diam=90
Pair409: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=89, inner_diam=67
Pair410: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=55, inner_diam=98
Pair411: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=96, inner_diam=60
Pair412: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=65, inner_diam=40
Pair413: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=85, inner_diam=64
Pair414: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=70, inner_diam=67
Pair415: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=87, inner_diam=43
Pair416: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=94, inner_diam=98
Pair417: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=99, inner_diam=81
Pair418: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=77, inner_diam=77
Pair419: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=86, inner_diam=80
Pair420: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=57, inner_diam=58
Pair421: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=94, inner_diam=55
Pair422: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=83, inner_diam=67
Pair423: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=57, inner_diam=92
Pair424: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=84, inner_diam=88
Pair425: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=75, inner_diam=80
Pair426: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=63, inner_diam=63
Pair427: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=65, inner_diam=112
Pair428: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=95, inner_diam=91
Pair429: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=69, inner_diam=69
Pair430: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=66, inner_diam=84
Pair431: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=50, inner_diam=98
Pair432: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=89, inner_diam=118
Pair433: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=81, inner_diam=113
Pair434: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=89, inner_diam=54
Pair435: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=90, inner_diam=87
Pair436: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=93, inner_diam=66
Pair437: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=100, inner_diam=120
Pair438: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=70, inner_diam=98
Pair439: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=78, inner_diam=73
Pair440: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=81, inner_diam=117
Pair441: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=83, inner_diam=85
Pair442: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=99, inner_diam=117
Pair443: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=59, inner_diam=68
Pair444: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=72, inner_diam=78
Pair445: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=69, inner_diam=104
Pair446: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=100, inner_diam=62
Pair447: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=95, inner_diam=54
Pair448: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=75, inner_diam=41
Pair449: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=89, inner_diam=94
Pair450: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=50, inner_diam=85
Pair451: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=67, inner_diam=64
Pair452: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=87, inner_diam=105
Pair453: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=86, inner_diam=86
Pair454: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=77, inner_diam=60
Pair455: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=58, inner_diam=67
Pair456: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=76, inner_diam=65
Pair457: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=61, inner_diam=116
Pair458: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=97, inner_diam=86
Pair459: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=95, inner_diam=101
Pair460: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=54, inner_diam=102
Pair461: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=67, inner_diam=94
Pair462: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=50, inner_diam=100
Pair463: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=99, inner_diam=83
Pair464: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=57, inner_diam=89
Pair465: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=70, inner_diam=46
Pair466: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=52, inner_diam=82
Pair467: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=81, inner_diam=71
Pair468: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=85, inner_diam=93
Pair469: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=100, inner_diam=113
Pair470: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=99, inner_diam=40
Pair471: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=50, inner_diam=63
Pair472: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=58, inner_diam=85
Pair473: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=94, inner_diam=42
Pair474: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=76, inner_diam=76
Pair475: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=93, inner_diam=47
Pair476: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=81, inner_diam=40
Pair477: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=87, inner_diam=44
Pair478: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=80, inner_diam=100
Pair479: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=95, inner_diam=54
Pair480: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=97, inner_diam=98
Pair481: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=88, inner_diam=53
Pair482: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=85, inner_diam=119
Pair483: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=74, inner_diam=55
Pair484: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=59, inner_diam=97
Pair485: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=78, inner_diam=57
Pair486: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=70, inner_diam=91
Pair487: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=63, inner_diam=73
Pair488: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=79, inner_diam=102
Pair489: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=71, inner_diam=92
Pair490: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=81, inner_diam=76
Pair491: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=98, inner_diam=58
Pair492: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=86, inner_diam=67
Pair493: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=76, inner_diam=93
Pair494: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=56, inner_diam=53
Pair495: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=73, inner_diam=98
Pair496: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=77, inner_diam=93
Pair497: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=79, inner_diam=110
Pair498: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=84, inner_diam=111
Pair499: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=56, inner_diam=44
Pair500: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=66, inner_diam=79
Pair501: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=80, inner_diam=56
Pair502: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=79, inner_diam=61
Pair503: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=97, inner_diam=54
Pair504: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=88, inner_diam=111
Pair505: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=56, inner_diam=98
Pair506: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=76, inner_diam=80
Pair507: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=99, inner_diam=105
Pair508: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=84, inner_diam=115
Pair509: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=100, inner_diam=55
Pair510: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=85, inner_diam=104
Pair511: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=63, inner_diam=76
Pair512: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=93, inner_diam=104
Pair513: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=91, inner_diam=78
Pair514: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=67, inner_diam=55
Pair515: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=98, inner_diam=67
Pair516: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=79, inner_diam=45
